,country_code,region_name,iata,icao,airport,latitude,longitude,FIPS
7797,US,Arkansas,XNA,KXNA,Northwest Arkansas Regional Airport,36.2819,-94.3068,05007
7798,US,Iowa,OMA,KOMA,Eppley Airfield,41.3032,-95.8941,19155
7799,US,Arizona,DGL,KDGL,Douglas Municipal Airport,31.3426,-109.506,04003
7800,US,Texas,DFW,KDFW,Dallas/Fort Worth International Airport,32.8968,-97.038,48439
7801,US,Ohio,DFI,KDFI,Defiance Memorial Airport,41.3375,-84.4288,39039
7802,US,Alaska,OME,PAOM,Nome Airport,64.5122,-165.445,02180
7803,US,Washington,OMK,KOMK,Omak Airport,48.4644,-119.518,53047
7804,US,South Dakota,XPR,KIEN,Pine Ridge Airport,43.0225,-102.511,46113
7805,US,Colorado,DEN,KDEN,Denver International Airport,39.8617,-104.673,08031
7806,US,Minnesota,ONA,KONA,Winona Municipal Airport (Max Conrad Field),44.0772,-91.7083,27169
7807,US,Iowa,DEH,KDEH,Decorah Municipal Airport,43.2755,-91.7394,19191
7808,US,Alaska,KQA,,Akutan Seaplane Base,54.1338,-165.779,02013
7809,US,Illinois,DEC,KDEC,Decatur Airport,39.8346,-88.8657,17115
7810,US,New York,ONH,,Oneonta Municipal Airport,42.5247,-75.0644,36077
7811,US,Alaska,KPY,,Port Bailey Seaplane Base,57.9301,-153.041,02150
7812,US,Nevada,XSD,KTNX,Tonopah Test Range Airport,37.7988,-116.781,32023
7813,US,Nebraska,ONL,KONL,O'Neill Municipal Airport (John L. Baker Field),42.4699,-98.6881,31089
7814,US,Kansas,DDC,KDDC,Dodge City Regional Airport,37.7634,-99.9656,20057
7815,US,New Mexico,ONM,KONM,Socorro Municipal Airport,34.024,-106.898,35053
7816,US,Oregon,ONO,KONO,Ontario Municipal Airport,44.0205,-117.014,41045
7817,US,Alabama,DCU,KDCU,Pryor Field Regional Airport,34.6527,-86.9454,01083
7818,US,Alaska,DCK,,Dahl Creek Airport,66.9433,-156.905,02188
7819,US,Oregon,ONP,KONP,Newport Municipal Airport,44.5804,-124.058,41041
7820,US,Idaho,DBS,,Dubois Municipal Airport,44.1666,-112.226,16033
7821,US,Alaska,KPV,PAPE,Perryville Airport,55.906,-159.163,02164
7822,US,California,ONT,KONT,Ontario International Airport,34.056,-117.601,06071
7823,US,Iowa,DBQ,KDBQ,Dubuque Regional Airport,42.402,-90.7095,19061
7824,US,Georgia,DBN,KDBN,W. H. 'Bud' Barron Airport,32.5644,-82.9853,13175
7825,US,Nevada,KPT,,Jackpot Airport (Hayden Field),41.976,-114.658,32007
7826,US,Texas,ONY,KONY,Olney Municipal Airport,33.3522,-98.7915,48503
7827,US,Ohio,DAY,KDAY,Dayton International Airport,39.9024,-84.2194,39113
7828,US,Iowa,OOA,KOOA,Oskaloosa Municipal Airport,41.0048,-93.3096,19117
7829,US,Alaska,OOK,PAOO,Toksook Bay Airport,60.5414,-165.087,02050
7830,US,Alaska,KPR,,Port Williams Seaplane Base,58.4901,-152.582,02150
7831,US,Alaska,KPN,PAKI,Kipnuk Airport,59.933,-164.031,02050
7832,US,Alaska,YAK,PAYA,Yakutat Airport,59.5033,-139.66,02282
7833,US,Virginia,DAN,KDAN,Danville Regional Airport,36.5729,-79.3361,51590
7834,US,Florida,OPF,KOPF,Miami-Opa Locka Executive Airport,25.907,-80.2784,12086
7835,US,Texas,DAL,KDAL,Dallas Love Field,32.8471,-96.8518,48113
